"Var1","Var2","radius"
-8.47,41.27,0.01
-8.46,41.27,0.01
-8.45,41.27,0.01
-8.7,41.28,0.01
-8.69,41.28,0.01
-8.68,41.28,0.01
-8.67,41.28,0.01
-8.66,41.28,0.01
-8.65,41.28,0.01
-8.64,41.28,0.01
-8.63,41.28,0.01
-8.62,41.28,0.01
-8.61,41.28,0.01
-8.6,41.28,0.01
-8.59,41.28,0.01
-8.58,41.28,0.01
-8.57,41.28,0.01
-8.56,41.28,0.01
-8.55,41.28,0.01
-8.54,41.28,0.01
-8.53,41.28,0.01
-8.52,41.28,0.01
-8.51,41.28,0.01
-8.5,41.28,0.01
-8.49,41.28,0.01
-8.48,41.28,0.01
-8.47,41.28,0.01
-8.46,41.28,0.01
-8.45,41.28,0.01
-8.7,41.29,0.01
-8.69,41.29,0.01
-8.68,41.29,0.01
-8.67,41.29,0.01
-8.66,41.29,0.01
-8.65,41.29,0.01
-8.64,41.29,0.01
-8.63,41.29,0.01
-8.62,41.29,0.01
-8.61,41.29,0.01
-8.6,41.29,0.01
-8.59,41.29,0.01
-8.58,41.29,0.01
-8.57,41.29,0.01
-8.56,41.29,0.01
-8.55,41.29,0.01
-8.54,41.29,0.01
-8.53,41.29,0.01
-8.52,41.29,0.01
-8.51,41.29,0.01
-8.5,41.29,0.01
-8.49,41.29,0.01
-8.48,41.29,0.01
-8.47,41.29,0.01
-8.46,41.29,0.01
-8.45,41.29,0.01
-8.7,41.3,0.01
-8.69,41.3,0.01
-8.68,41.3,0.01
-8.67,41.3,0.01
-8.66,41.3,0.01
-8.65,41.3,0.01
-8.64,41.3,0.01
-8.63,41.3,0.01
-8.62,41.3,0.01
-8.61,41.3,0.01
-8.6,41.3,0.01
-8.59,41.3,0.01
-8.58,41.3,0.01
-8.57,41.3,0.01
-8.56,41.3,0.01
-8.55,41.3,0.01
-8.54,41.3,0.01
-8.53,41.3,0.01
-8.52,41.3,0.01
-8.51,41.3,0.01
-8.5,41.3,0.01
-8.49,41.3,0.01
-8.48,41.3,0.01
-8.47,41.3,0.01
-8.46,41.3,0.01
-8.45,41.3,0.01
